"rt","response","dr","drt","observed","subject","condition"
0.7048,1,FALSE,0,1,"s1","speed"
0.5207,1,FALSE,0,1,"s1","speed"
0.3583,1,FALSE,0,1,"s1","speed"
0.3635,1,FALSE,0,1,"s1","speed"
0.4031,1,FALSE,0,1,"s1","speed"
0.5637,0,FALSE,0,1,"s1","speed"
0.4294,0,FALSE,0,1,"s1","speed"
0.7889,1,FALSE,0,1,"s1","speed"
0.4512,0,FALSE,0,1,"s1","speed"
0.4269,1,FALSE,0,1,"s1","speed"
0.628,0,FALSE,0,1,"s1","speed"
0.6853,1,FALSE,0,1,"s1","speed"
0.316,1,FALSE,0,1,"s1","speed"
0.3385,1,FALSE,0,1,"s1","speed"
0.5011,1,FALSE,0,1,"s1","speed"
0.5042,0,FALSE,0,1,"s1","speed"
0.8109,0,FALSE,0,1,"s1","speed"
0.6451,1,FALSE,0,1,"s1","speed"
0.5945,1,FALSE,0,1,"s1","speed"
0.4651,1,FALSE,0,1,"s1","speed"
0.3206,0,FALSE,0,1,"s1","speed"
0.6615,1,FALSE,0,1,"s1","speed"
0.5569,1,FALSE,0,1,"s1","speed"
0.4211,1,FALSE,0,1,"s1","speed"
0.3931,1,FALSE,0,1,"s1","speed"
0.3824,0,FALSE,0,1,"s1","speed"
0.6144,1,FALSE,0,1,"s1","speed"
0.5194,1,FALSE,0,1,"s1","speed"
0.5224,1,FALSE,0,1,"s1","speed"
0.4038,1,FALSE,0,1,"s1","speed"
0.4041,1,FALSE,0,1,"s1","speed"
0.4557,0,FALSE,0,1,"s1","speed"
0.6862,1,FALSE,0,1,"s1","speed"
0.5664,1,FALSE,0,1,"s1","speed"
0.4649,1,FALSE,0,1,"s1","speed"
0.4916,0,FALSE,0,1,"s1","speed"
0.4208,1,FALSE,0,1,"s1","speed"
0.2696,0,FALSE,0,1,"s1","speed"
0.5113,1,FALSE,0,1,"s1","speed"
0.3406,0,FALSE,0,1,"s1","speed"
0.5215,1,FALSE,0,1,"s1","speed"
0.6497,1,FALSE,0,1,"s1","speed"
0.5062,1,FALSE,0,1,"s1","speed"
0.3859,0,FALSE,0,1,"s1","speed"
0.4203,0,FALSE,0,1,"s1","speed"
0.6662,0,FALSE,0,1,"s1","speed"
0.2287,0,FALSE,0,1,"s1","speed"
0.6189,1,FALSE,0,1,"s1","speed"
0.6008,1,FALSE,0,1,"s1","speed"
0.342,0,FALSE,0,1,"s1","speed"
0.3289,1,FALSE,0,1,"s1","speed"
0.3059,1,FALSE,0,1,"s1","speed"
0.2294,1,FALSE,0,1,"s1","speed"
0.2833,1,FALSE,0,1,"s1","speed"
0.2007,1,FALSE,0,1,"s1","speed"
0.2071,1,FALSE,0,1,"s1","speed"
0.2381,1,FALSE,0,1,"s1","speed"
0.4458,0,FALSE,0,1,"s1","speed"
0.4605,1,FALSE,0,1,"s1","speed"
0.2932,0,FALSE,0,1,"s1","speed"
0.4868,1,FALSE,0,1,"s1","speed"
0.424,1,FALSE,0,1,"s1","speed"
0.3834,0,FALSE,0,1,"s1","speed"
0.6648,1,FALSE,0,1,"s1","speed"
0.6032,1,FALSE,0,1,"s1","speed"
0.6693,1,FALSE,0,1,"s1","speed"
0.3555,1,FALSE,0,1,"s1","speed"
0.2752,0,FALSE,0,1,"s1","speed"
0.4122,0,FALSE,0,1,"s1","speed"
0.5388,0,FALSE,0,1,"s1","speed"
0.4493,0,FALSE,0,1,"s1","speed"
0.37,0,FALSE,0,1,"s1","speed"
0.6306,1,FALSE,0,1,"s1","speed"
0.5773,1,FALSE,0,1,"s1","speed"
0.3472,1,FALSE,0,1,"s1","speed"
0.2737,0,FALSE,0,1,"s1","speed"
